Author,Comment,Time
@AdiSusanto-zn9yr,Kyknya cm kmu yg tersiksa ​ @MujiAnto-v1x ,2 hari yang lalu
@Registrasi831,"ntar ditanya malaikat dlm kubur: ""Siapa Tuhanmu?""
apa jwabnya gitu juga ya? ""lha ndak tau kok tanya saya?""",2 hari yang lalu
@GunawanGunawan-uj8uu,Kurang apem... Banyak2in istiqfar mas 😂😂.. Nanti nyesel loh'..mati ngak ngerasain banyak apem..,1 hari yang lalu (diedit)
@imamsuhadi7260,sama2 manussia,1 hari yang lalu
@espadarichie6680,"Ya gitulah kl urusan sama raja ngibul, isinya kl gak ngibul ya rekayasa",1 hari yang lalu
@G...45mjgjugjuuugggh,Hhh knapa msh melibatkan 7ahli KLO MMG asli tunjukkan saja 😂😂😂,1 hari yang lalu
@kireinachannel5252,​ @MansurJaya-k3l klo cari uang sih tinggal masuk ke kuasaan pasti bnyakakan di sono bang,1 hari yang lalu
@sunardisunardi5776,"Kamu pilih yang mana
Muka mu bengkak,apa ijazahmu terkuak?

Klw soal bayar,cukup bwt beli dupa segudang az",1 hari yang lalu
@AdyaZimam-r7u,Ayo tunjukkan saja jangan sampai ada rekayasa bareskrim itu banyak mereka yasa kasus  makanya hrs di tunjukkan dan di periksa para ahli digital forensik s eperti resmon dan roy suryo kalau termul semua bisa di benarkan karena bisa menghalalkan segala cara,1 hari yang lalu
@PriadiKassan,Laah buat apa ijazah asli ditunjukan. Emang ente nyimaknya gimana siih tentang ijazah koo malah mibta ditunjukan. Emang pa jokowi harus nunjukin ijazah asli emangnya lagi ngelamar kerjaan apa.😂😂 Realistis lah broo berfikir​ @oreo-ok2gl ,1 hari yang lalu
@solekhun8175,Klau benar Jokowi punya Ijasah asli dari UGM wawasanya kebangsaan & narasi ngomongnya akan kelihatan lebih intelek gak kayak orang gagal paham alias bodonya.,1 hari yang lalu
@arieeweny1769,"Menghilangkan kebencian itu lebih sulit, dari pada bersabar,,, dan gk mungkin hilang klu kebencian sudah menyatu dgn darah dan daging,,, 
Dipastikan benci sampai mati,,,",1 hari yang lalu
@arisuryanto9788,Makanya karena tuduhan Ijzah palsu si Roy dan Rismon di dasarkan Kebohongan jadi sampai hari ini gerombolan ini terus mencari Kebohongan baru untuk menutupi tuduhan mereka,1 hari yang lalu
@arisuryanto9788,Makanya karena tuduhan Ijzah palsu si Roy dan Rismon di dasarkan Kebohongan jadi sampai hari ini gerombolan ini terus mencari Kebohongan baru untuk menutupi tuduhan mereka,1 hari yang lalu
@muhana4946,"Kalau proses fair dan adil bisa saja terjadi penuduh kena pasal pencemaran nama baik, inivterkait dengan bagaimana menyampaikan berita di publik, dan akan tetapi ijazah harus benar-benar dibuktikan secara forensik dan seandainya palsu ya hakim harus berani memutuskan palsu meskipun penuduh kena pasal pencemaran nama baik.",1 hari yang lalu
@rossi0213,​ @FirdaElek-g3x  sakit hati buat apa LOL ??,1 hari yang lalu
@wibowobowo7062,Ijazah kl di buka dr dl gk smpai 1 hr kelar.uji frnsik dr dua pihak itu baru msyrkat tau...km ini termul jga ya.mmx jd bkdoh.nyata2 jkwi berbohong super ruwet kok matamu gk lihat..​ @MansurJaya-k3l ,1 hari yang lalu
@eddirmannurdin1091,Yang membela pembohong biasanya pendusta.,1 hari yang lalu
@LyricalPontianak,"100 AHLI pun masih tidak dipercaya oleh KELOMPOK SAKIT HATI. APALAGI HANYA 2, 3 AHLI SAJA.",1 hari yang lalu
@EkoSugiarto-r5v,Bohong Mulu.... Msh ada yg percaya hadeh...,1 hari yang lalu
@KristiantoTian-y9s,Apakah hukum kalau ijazah palsu apa pasalnya mungkin seumur hidup,1 hari yang lalu
@sutikno1711,"Banyak ahli, akan kian terkubur para halu fitnator akadmisi",1 hari yang lalu
@BismillahKebaikan,Knp HTI dn FPI Kalah mulu lengserkan ? Sejak 2014 2019 2024 sampai skarang.,1 hari yang lalu
@IrwanDi-p3o,​ @MansurJaya-k3l preet sekali..,1 hari yang lalu
@susiantopotopo,Kekeh dalam dusta,1 hari yang lalu
@JitoSuhar-t3x,​ @oreo-ok2gl kamu yg pakai.logika kebalik,1 hari yang lalu
@JitoSuhar-t3x,​ @solekhun8175 presiden 2 periode bro?kamu?,1 hari yang lalu
@fahrujiprisnianta5957,​ @iqbcup5791 barisan sakit hati vs barisan kang bohong😂😂 cocok dah sama2 oon😂😂,1 hari yang lalu
@peterray7103,"Sungguh berdosa Anda menuduh Jokowi  berbohong... sementara kasus ini belum masuk ke Pengadilan yg menyatakan izajah Jokowi palsu. Bertobatlah, jangan karena benci dgn keluarga Jokowi Anda menjadi hakim",1 hari yang lalu
@fahrujiprisnianta5957,​ @AdiSusanto-zn9yr 2 2 nya belum bisa dipercaya karna mereka semua manusia biasa bisa salah.,1 hari yang lalu
@YakubYakub-wz3sx,Hahahahaha Bisa Saja  BP   singkat. Padat  kental  komplit,1 hari yang lalu
@SuwadiWadi-z9w,Pki,1 hari yang lalu
@abahlukychanel5346,"​ @iqbcup5791 komentar basi, saking ga punya lagi argumen 😅😅😅",1 hari yang lalu
@budiyanto-q3s,​@PriadiKassanpejabat publik harus jujur,1 hari yang lalu
@anaknakal9677,"intinya h t i dan f p i, aliran sesat 😂",1 hari yang lalu
@ukkajawa8489,"Ijazah ko seribet ini, ahli apa lagi yng mau tampil, ijazah dl yang tampil, initinya ijazah ko ribet bnget.",1 hari yang lalu
@Dani-d2x6h,Kata siapa,1 hari yang lalu
@SugandaNda-w5p,Y itu loe kan yg kaya gtu....,1 hari yang lalu
@syahrunsesbu2173,Yah kalau terlanjur mati dalam kebohongan. Dikuburnya dengan kebohongan juga. Maksudnya pura-pura di kubur tapi ternyata dibuang saja ke laut.,1 hari yang lalu
@ningning6415,Harusnya lu tinggal di Mars atau Pluto sono​ @yayanKusdiana-g3j ,1 hari yang lalu
@adiwiyono-f1g,kalo maennya kurang jauh ya begini...,1 hari yang lalu
@rahelazalia3883,Tpua berkumpul nih😅,1 hari yang lalu
@SafriHendrawan,Dibayar piro 😊,1 hari yang lalu
@ikiaw3508,"Sudah jelas ijazahnya asli tidak ada, kalau ada dari dulu sudah selesai.",1 hari yang lalu
@normansasongko4118,"​ @AdiSusanto-zn9yr aku wong njowo Seko Purworejo Jateng 
Aku luweh percoyo Karo Roy Suryo Rismon Tiva TPUA dkk bravo bravo bravo perjuang",1 hari yang lalu
